classifier,auc_mean,auc_std,best_grid_params,best_grid_score
Random Forest,0.9834021032585477,0.0030411202201724823,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9835014245046357
Logistic Regression,0.9613388122312023,0.00493915938068008,{'penalty': 'none'},0.9609881755602838
LightGBM,0.9882195713104045,0.002626051349621411,"{'learning_rate': 0.1, 'max_depth': 7, 'num_leaves': 20}",0.9882488329446554
XGBoost,0.9886878526756752,0.002360180068738993,"{'eta': 0.1, 'max_delta_step': 2, 'max_depth': 6, 'min_child_weight': 5}",0.9882430504639377
CATBoost,0.9866484880386234,0.0026490648274229973,{'n_estimators': 30},0.9873582134748219
Log-Bagging,0.9827726641712828,0.0034049312758108736,{'n_estimators': 100},0.982919220537986
Dtree-Bagging,0.9839271437056598,0.003821452205605484,"{'base_estimator__max_depth': 20, 'n_estimators': 200}",0.9847951767398744
KNN-Bagging,0.9714453552105149,0.005276075939564422,"{'base_estimator__n_neighbors': 20, 'n_estimators': 200}",0.97207392489322
Voting,0.9881213202110353,0.0025085775894697878,"{'weights': [2, 1, 3, 2, 3]}",0.9880930733590285
Log-Adaboost,0.961348762470925,0.004930973187210017,"{'learning_rate': 0.001, 'n_estimators': 100}",0.9609718681281769
Log-GradientBoost,0.9876463977252115,0.0023471485861655916,"{'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 200}",0.9875686778374873
